"id","Gruppe","hochsch_01_t0","hochsch_02_t0","hochsch_03_t0","hochsch_04_t0","hochsch_05_t0","hochsch_06_t0","sesw_01_t0","sesw_02_t0","sesw_03_t0","sesw_04_t0","sesw_05_t0","sesw_06_t0","sesw_07_t0","sesw_08_t0","sesw_09_t0","sesw_10_t0","sesw_11_t0","sesw_12_t0","sesw_13_t0","psq_01_t0","psq_02_t0","psq_03_t0","psq_04_t0","psq_05_t0","psq_06_t0","psq_07_t0","psq_08_t0","psq_09_t0","psq_10_t0","psq_11_t0","psq_12_t0","psq_13_t0","psq_14_t0","psq_15_t0","psq_16_t0","psq_17_t0","psq_18_t0","psq_19_t0","psq_20_t0","ausgl_01_t0","ausgl_02_t0","ausgl_03_t0","ausgl_04_t0","ausgl_05_t0","alter","geschl","erststu","beruf","hochsch_01_t1","hochsch_02_t1","hochsch_03_t1","hochsch_04_t1","hochsch_05_t1","hochsch_06_t1","sesw_01_t1","sesw_02_t1","sesw_03_t1","sesw_04_t1","sesw_05_t1","sesw_06_t1","sesw_07_t1","sesw_08_t1","sesw_09_t1","sesw_10_t1","sesw_11_t1","sesw_12_t1","sesw_13_t1","psq_01_t1","psq_02_t1","psq_03_t1","psq_04_t1","psq_05_t1","psq_06_t1","psq_07_t1","psq_08_t1","psq_09_t1","psq_10_t1","psq_11_t1","psq_12_t1","psq_13_t1","psq_14_t1","psq_15_t1","psq_16_t1","psq_17_t1","psq_18_t1","psq_19_t1","psq_20_t1","ausgl_01_t1","ausgl_02_t1","ausgl_03_t1","ausgl_04_t1","ausgl_05_t1","ev_persprof","ev_durchf","ev_konz","ev_zurh","ev_schwk"
"13",1,5,5,5,4,2,2,2,5,4,5,5,4,5,5,4,4,5,4,5,3,1,2,4,1,3,1,3,1,1,1,3,1,4,1,4,1,2,3,2,5,2,1,5,3,19.0,1,1,1,5,5,4,3,4,4,4,5,4,5,5,4,5,5,3,3,5,5,5,3,1,1,3,1,3,1,3,1,1,2,4,2,4,1,4,1,2,3,2,4,3,2,5,4,2,4,2,1,2
"14",1,4,5,4,3,4,4,3,5,3,4,4,4,3,4,4,3,3,3,3,2,3,3,3,4,2,2,2,2,3,3,3,4,3,4,2,2,2,2,4,3,3,1,4,4,20.0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15",1,4,5,4,2,4,3,5,3,4,3,4,4,5,3,4,4,4,3,3,2,2,3,2,2,3,1,2,2,1,2,4,2,3,2,2,1,1,2,1,1,2,2,2,3,19.0,1,1,2,4,4,3,3,3,4,5,4,3,4,3,4,5,4,5,4,4,3,3,3,2,4,2,3,2,2,2,3,2,3,3,2,3,2,2,2,2,1,3,4,2,1,2,3,3,4,4,2,2
"16",1,4,4,3,2,3,4,3,4,4,5,3,4,5,4,4,3,4,3,3,2,2,2,3,2,2,3,2,2,2,2,3,1,3,2,2,2,3,3,2,1,1,1,4,2,-99.0,2,1,2,4,4,3,1,3,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,2,2,3,2,2,2,2,2,1,2,4,1,3,2,2,2,3,3,2,3,2,1,4,2,3,3,2,2,2
"17",1,4,5,5,3,3,2,4,3,3,3,3,3,4,4,4,4,5,4,3,2,2,2,4,2,3,1,2,2,2,1,3,2,4,1,4,2,1,2,1,1,1,1,3,4,-99.0,1,1,2,5,5,4,4,4,2,5,3,4,4,5,4,5,5,4,4,4,4,3,2,2,2,3,1,3,1,3,2,1,2,3,2,4,1,3,2,2,2,2,3,1,1,2,4,4,3,2,2,2
"18",1,4,5,4,2,3,4,1,4,5,5,5,4,5,5,5,5,5,3,5,3,2,2,4,1,4,1,4,1,2,1,3,1,4,2,3,1,1,2,2,2,2,3,4,3,19.0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19",1,3,4,4,4,4,3,2,4,5,4,4,3,4,4,2,3,4,3,4,2,3,3,3,2,3,3,2,3,3,3,2,3,2,3,2,3,2,3,2,1,1,1,2,2,-99.0,1,1,2,4,3,3,4,5,4,1,3,4,3,4,2,3,1,2,3,3,2,3,1,4,4,2,4,2,3,1,3,4,3,1,4,2,4,1,3,3,3,4,2,1,1,2,1,1,3,4,1,2
"20",1,5,4,5,4,3,4,4,4,2,2,2,2,4,3,4,4,4,3,2,2,3,4,3,3,1,3,2,3,2,2,2,2,3,2,3,2,2,1,3,2,1,1,2,4,23.0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21",1,5,5,3,3,1,2,4,4,5,5,4,5,4,4,3,5,4,5,5,2,2,4,3,1,1,2,2,3,2,4,4,2,3,2,3,2,2,4,2,1,1,1,3,3,-99.0,1,1,2,5,5,4,2,2,2,4,3,4,5,4,4,4,4,3,5,3,4,3,2,2,4,3,1,2,2,2,2,1,2,4,2,3,2,3,2,2,2,2,1,1,1,2,4,4,4,3,1,2
"22",1,3,2,4,5,4,5,2,5,2,3,3,2,5,4,5,3,5,5,5,2,4,4,2,3,1,3,2,4,4,2,1,4,2,4,2,4,3,1,4,4,1,1,1,2,-99.0,1,1,2,3,4,5,5,4,5,1,5,5,5,3,5,5,3,4,3,3,4,3,1,4,4,2,4,1,4,2,4,4,4,2,4,2,4,1,4,4,1,4,4,1,1,1,3,5,5,2,1,5
"23",1,4,5,4,5,4,4,3,4,5,5,4,4,5,5,5,5,5,5,4,2,2,3,4,1,3,2,2,2,2,1,4,3,2,2,3,3,3,2,2,1,1,1,1,5,23.0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24",2,3,4,3,1,4,3,1,2,3,1,4,3,4,2,2,3,3,2,2,1,2,4,2,3,2,3,2,3,3,3,2,4,2,4,2,3,2,2,4,1,1,1,3,2,19.0,1,1,2,3,5,3,1,4,3,1,2,3,2,3,2,3,3,3,4,3,3,2,1,2,3,1,4,1,3,2,3,3,3,3,3,2,3,2,4,3,2,4,1,1,1,3,3,3,4,1,1,4
"25",2,5,5,5,3,3,2,4,4,4,4,5,4,5,3,4,4,4,4,4,2,3,3,4,3,2,3,3,2,2,2,4,3,4,2,1,2,2,3,1,1,1,1,1,2,-99.0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26",2,5,5,4,3,2,1,3,4,4,3,4,5,5,5,3,3,4,4,3,3,2,3,3,2,3,1,3,2,1,1,3,2,3,2,3,1,3,2,1,1,1,2,3,3,-99.0,2,1,2,5,5,4,2,2,2,4,3,3,4,3,4,4,3,3,4,4,4,3,4,1,3,3,3,2,1,3,2,2,2,2,3,4,1,3,2,3,3,2,1,1,1,2,3,1,1,1,2,2
"27",2,4,5,4,4,4,3,4,3,3,4,5,4,5,4,4,4,4,4,3,2,3,2,3,1,2,3,2,3,2,2,3,2,4,2,3,2,2,2,3,1,1,1,3,3,22.0,1,1,2,4,5,5,4,4,3,4,4,4,5,4,3,4,4,3,5,4,3,4,3,2,2,4,1,3,2,2,2,2,2,4,2,3,1,3,2,2,2,2,1,2,2,1,3,2,3,1,1,3
"28",2,5,5,3,2,4,3,3,2,3,4,2,4,2,2,5,3,4,4,4,2,2,3,2,3,2,3,2,4,2,3,3,3,2,3,1,4,4,3,2,2,2,2,3,3,-99.0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
